cycle,time,actual SoC,predicted SoC
1,0.0,1.0,0.9522638
1,16.781,1.0,0.8876399
1,35.702999999999996,0.994798365834425,0.8922299
1,53.781,0.9898423474539851,0.8879117
1,71.922,0.9848575408180933,0.8845539
1,90.094,0.9798696464026941,0.8808521
1,108.281,0.9748805756254032,0.87764066
1,126.453,0.9698949452664467,0.87476254
1,144.641,0.9649105877415958,0.8712448
1,162.844,0.9599121047879271,0.8670325
1,181.016,0.9549212973085454,0.8629848
1,199.219,0.9499214675752938,0.8587747
1,217.391,0.9449368010444363,0.85468715
1,235.594,0.9399420873584063,0.85059845
1,253.75,0.9349623421556748,0.84651446
1,271.984,0.9299632792684768,0.8425598
1,290.141,0.9249800337969091,0.8386462
1,308.359,0.9199828675317608,0.8346766
1,326.5,0.9150002073687816,0.83086944
1,344.75,0.9099917879365705,0.82690644
1,362.906,0.9050109602804638,0.82303035
1,381.047,0.9000324055474328,0.8190825
1,399.187,0.8950593642968206,0.8151897
1,417.281,0.8900992347283451,0.81123954
1,435.484,0.8851060088828717,0.807412
1,453.672,0.8801076116895368,0.80363166
1,471.812,0.8751304632279525,0.79970473
1,490.203,0.8700802090396743,0.7957771
1,508.344,0.8651016209684896,0.7918954
1,526.625,0.8600849354174144,0.7879493
1,544.922,0.8550608356279062,0.78408724
1,563.125,0.8500648681339736,0.78011537
1,581.406,0.8450488202456825,0.7761092
1,599.656,0.8400424639229935,0.7720455
1,617.875,0.8350446807232391,0.7681468
1,636.047,0.8300559965906997,0.76419777
1,654.422,0.8250146339209713,0.7601589
1,672.594,0.8200271967916818,0.7561544
1,690.812,0.815028670825413,0.75208306
1,708.937,0.8100548948652908,0.74802816
1,727.266,0.8050271499175229,0.7438752
1,745.578,0.7999967497916259,0.73980933
1,763.797,0.7949932078711923,0.7356955
1,782.109,0.7899688227534608,0.73155886
1,800.484,0.7849183892860413,0.7274823
1,818.797,0.7798916687682816,0.7232943
1,837.016,0.774894613455221,0.71909
1,855.25,0.769888719520327,0.71497154
1,873.578,0.7648604542831677,0.7107519
1,891.812,0.7598600061292102,0.70666236
1,910.141,0.7548263890750251,0.70248556
1,928.391,0.7498195312012083,0.69834024
1,946.719,0.744790717698118,0.69416565
1,965.047,0.7397567735163377,0.6900534
1,983.391,0.7347276994874085,0.6858415
1,1001.766,0.7296799837021439,0.68187857
1,1020.172,0.7246329756692755,0.67766154
